date,watch_minutes,num_sessions
2023-02-09,3.1166666666666667,1
2023-04-02,32.61666666666667,3
2023-04-28,92.83333333333334,2
2023-04-29,24.033333333333335,1
2023-06-07,116.68333333333334,12
2023-06-18,37.233333333333334,1
2023-06-19,68.44999999999999,2
2023-06-20,1.1333333333333333,1
2023-06-23,31.333333333333336,2
2023-06-24,42.53333333333333,3
2023-08-23,36.833333333333336,1
2023-09-05,19.05,1
2023-10-10,6.816666666666666,1
2023-10-14,49.06666666666667,2
2023-11-10,2.716666666666667,1
2023-12-11,9.583333333333334,1
2023-12-16,4.033333333333333,1
2023-12-31,101.05000000000001,2
2024-01-07,226.93333333333334,10
2024-01-09,15.183333333333334,1
2024-01-10,51.91666666666667,3
2024-01-11,59.75,2
2024-01-12,38.4,3
2024-01-13,56.766666666666666,3
2024-01-14,37.083333333333336,4
2024-01-15,13.733333333333333,1
2024-01-16,37.233333333333334,3
2024-01-19,5.05,1
2024-01-21,30.833333333333332,1
2024-01-26,34.63333333333333,2
2024-02-01,23.316666666666666,2
2024-02-13,4.783333333333333,1
2024-02-17,15.583333333333334,1
2024-02-20,81.03333333333333,2
2024-02-21,25.6,2
2024-02-23,148.68333333333334,8
2024-02-24,84.7,6
2024-02-25,102.41666666666666,3
2024-02-26,28.75,2
2024-02-27,28.083333333333332,2
2024-02-28,8.3,1
2024-02-29,5.733333333333333,1
2024-03-06,155.26666666666668,16
2024-04-04,28.033333333333335,1
2024-04-07,50.88333333333333,2
2024-04-14,328.3333333333333,11
2024-04-15,26.1,2
2024-04-16,240.56666666666666,8
2024-04-17,108.43333333333334,7
2024-04-18,131.43333333333334,8
2024-04-19,326.23333333333335,20
2024-04-20,15.783333333333333,1
2024-04-21,300.8666666666667,11
2024-04-22,274.6,10
2024-04-23,338.78333333333336,24
2024-04-24,74.78333333333333,3
2024-04-25,94.85000000000001,6
2024-04-26,29.233333333333334,2
2024-04-29,5.566666666666666,1
2024-05-01,47.18333333333334,2
2024-05-02,32.15,1
2024-05-03,150.53333333333333,8
2024-05-04,394.1666666666667,18
2024-05-05,74.56666666666666,6
2024-05-06,33.083333333333336,3
2024-05-07,69.15,2
2024-05-08,331.1,18
2024-05-09,52.86666666666667,2
2024-06-21,237.8,10
2024-07-15,639.6833333333334,18
2024-07-16,105.91666666666667,7
2024-07-17,498.73333333333335,14
2024-07-18,230.68333333333334,5
2024-07-19,176.53333333333333,5
2024-07-20,281.75,7
2024-07-21,66.31666666666668,3
2024-08-01,54.43333333333334,2
2024-08-20,125.81666666666666,1
2024-08-21,95.48333333333333,3
2024-08-22,172.28333333333333,4
2024-08-23,115.21666666666667,4
2024-08-24,361.55,17
2024-08-25,386.46666666666664,12
2024-09-16,137.63333333333333,4
2024-09-17,9.5,1
2024-09-18,103.03333333333333,5
2024-09-19,119.23333333333333,4
2024-09-21,4.033333333333333,1
2024-09-22,17.71666666666667,2
2024-09-23,29.733333333333334,1
2024-09-26,54.96666666666667,3
2024-09-27,44.28333333333333,2
2024-10-01,95.05,2
2024-10-02,15.883333333333333,1
2024-10-03,57.28333333333333,1
2024-11-04,22.333333333333336,2
2025-01-29,207.43333333333334,5
2025-01-30,540.4166666666666,19
2025-02-02,48.916666666666664,4
2025-02-03,208.1,7
2025-02-06,6.133333333333334,1
2025-02-08,219.28333333333333,7
2025-02-09,105.75,4
2025-02-10,11.416666666666668,2
2025-02-11,49.96666666666667,2
2025-02-13,107.44999999999999,3
2025-02-14,71.16666666666666,2
2025-02-15,2.216666666666667,1
2025-02-16,122.46666666666667,3
2025-02-19,31.316666666666666,2
2025-02-20,21.4,2
2025-02-21,83.45,4
2025-02-22,353.48333333333335,12
2025-02-23,133.93333333333334,3
2025-02-24,88.81666666666666,2
2025-02-25,107.65,4
2025-03-01,84.21666666666667,2
2025-03-02,62.03333333333333,2
2025-03-03,37.65,1
2025-03-07,122.08333333333333,5
2025-03-08,37.55,2
2025-03-09,81.83333333333333,2
